fonte,alvo,paragrafo,prefixo,sufixo,sha256,n_chars,motivo
produto4,Produto_4,216,zada: A figura do prefeito, é apontada como o princip,0f0e5c53e1b1a8295039701fd6cb4a8eb5ef2d8e16c4e442aff7ccedf27ac3fb,16,nome de agente publico ao lado de sessao rotulada pelo cargo
produto4,Produto_4,295,administração do prefeito , demonstre proatividade e ,58184f9ff146931f8ca024a06e7c36c4a21213f3dd71f5967ca3b2f8be624ab6,6,nome de agente publico ao lado de sessao rotulada pelo cargo
transcricao,ENT-008,626,articipante 1]: Vamos lá. , A secretaria que os contr,e40bf62ba131b2c84b0e4a198e1e9bcf2f2517c5b8d58ccbdc86e0f0c61a11a2,78,declaracao de alcada identifica o nivel de direcao
transcricao,ENT-012,76,[participante 1]: ,,ee1790b765a050276ba256bbfdf42c98b7a02776180cff1fdb0e809dacad30e9,95,cargo fundador de entidade nominal identifica a pessoa
transcricao,ENT-015,308,"h, eu não sei se é porque ", e os contatos que eu faço,6c3c9b43ebaf6ea0d738911826dec55363d02a242fd92e1c688e6708f9359108,87,cargo nacional nominal identifica a pessoa
transcricao,ENT-015,317,[participante 1]: ,,52f0242d5be39a58f80524b3174cbcff0802ac0917509aa420ea9ac2970496c8,73,vinculo familiar e voto declarado
transcricao,ENT-015,343,"te você vai fazer, porque ",", isso aí acaba. Eu gostar",9cb6efb8de302ed945d96c8b67e9aba13f95cec14a6f2b00b3cd146d61f74a55,42,referencia direta ao cargo
transcricao,ENT-015,319,[participante 1]: , profundamente decepcionan,5a435be519cf233a862495dae533509ecd8541175672e5bbff10f0e6974e7627,29,continuacao do voto declarado
transcricao,ENT-012,303,1]: Mas isso não avançou. ,", mas agora já nem lembro ",e8fb44986b114ed669ca8f777755f3d8030aa19569df396da416a0a549bb1964,36,episodio eleitoral identificavel
